xp,level,streak,accuracy,problems_solved,submission_count,placement_ready
5853,15,14,71,12,18,0
3042,8,62,57,106,148,1
4283,7,20,60,97,114,1
4034,3,18,53,173,217,0
8870,17,62,82,91,112,1
2222,1,4,86,151,173,1
7241,19,17,58,146,159,1
8440,20,22,65,0,1,0
8295,14,135,55,55,58,1
6853,13,44,35,38,46,0
2744,2,50,31,90,90,0
9186,17,70,57,101,124,1
4055,14,2,38,51,70,0
7065,11,26,39,142,180,0
7760,17,6,50,93,113,1
7312,13,43,63,6,7,1
4809,7,3,46,112,155,0
3205,6,55,26,5,6,0
7195,13,75,27,191,229,1
4690,10,192,42,90,127,1
11495,20,67,53,53,67,1
8073,15,24,57,153,218,1
9626,16,0,35,41,43,0
4830,10,2,65,8,12,0
3389,11,61,39,56,77,0
3480,10,147,73,30,34,1
2791,1,11,49,214,274,0
13449,20,0,62,227,285,1
8504,14,3,58,52,58,1
6705,13,156,89,48,55,1
2995,5,27,79,64,70,1
5868,14,39,100,150,216,1
3661,15,14,40,13,14,0
1984,4,28,41,28,40,0
13953,15,164,61,278,359,1
8724,15,53,78,49,62,1
7814,18,51,45,11,16,0
8336,16,108,28,112,160,1
5898,8,121,98,130,192,1
2739,8,2,83,1,1,0
3330,10,196,47,10,12,0
5453,11,40,55,31,35,1
1930,5,24,85,20,22,0
3964,7,2,58,130,182,0
8819,11,65,59,188,241,1
934,2,85,34,18,24,0
10864,19,138,54,60,87,1
8926,19,11,24,72,72,1
5448,12,5,86,72,98,1
12588,18,33,83,96,134,1
4228,8,36,59,53,61,0
6437,14,94,72,33,45,1
6217,11,54,88,15,17,1
3975,15,6,81,0,0,0
7390,13,22,19,37,37,0
2073,3,105,91,27,29,0
4773,15,22,59,63,79,1
6905,13,89,20,194,252,1
8410,11,27,56,254,325,1
4781,14,30,29,25,32,0
759,1,3,72,8,8,0
4018,12,6,66,10,10,0
1307,2,9,37,27,30,0
2454,7,102,36,41,45,0
2152,8,9,69,2,2,0
6308,19,8,55,21,25,1
4116,12,10,35,29,38,0
3152,4,31,42,76,95,1
2804,4,93,62,164,203,1
10731,19,2,71,21,27,0
2011,7,9,74,15,18,0
2826,4,20,24,43,64,0
7267,20,27,88,89,91,1
5988,12,1,70,18,23,0
2602,3,32,64,49,59,1
1175,1,5,22,38,41,0
6140,14,14,62,30,44,0
2360,5,0,43,25,36,0
10920,17,5,34,143,211,1
8322,16,40,57,73,90,1
3925,11,4,90,50,58,1
6532,15,39,35,88,124,0
11333,20,15,53,29,34,0
1263,1,46,27,54,59,0
5088,16,4,70,10,12,0
4037,11,12,44,11,16,0
5091,9,8,38,147,213,0
2277,7,3,63,48,71,0
7004,14,5,56,32,39,1
11080,16,157,45,130,187,1
1241,1,8,74,71,85,0
7826,13,119,21,52,61,1
7632,19,66,69,13,17,1
7040,17,17,22,36,53,0
5339,11,5,59,61,69,0
3952,10,15,56,56,59,0
2551,7,34,31,3,3,0
2350,7,18,80,9,11,0
12745,19,13,45,74,92,1
2008,4,64,15,58,65,0
5900,12,19,40,172,173,0
7573,18,79,66,217,222,1
1134,2,125,44,12,17,0
4370,5,3,83,87,93,0
1935,1,6,63,103,133,0
6965,16,10,66,11,12,1
1618,2,49,48,48,51,0
3935,3,20,84,136,145,1
10098,19,26,49,30,34,1
2762,5,27,58,23,24,0
5358,8,11,94,149,202,1
11300,20,21,63,50,57,1
10156,17,5,74,182,238,1
5478,10,44,65,26,30,1
10117,19,43,48,49,68,1
3471,4,100,47,101,141,1
2961,7,12,39,88,98,0
3492,8,1,68,54,56,0
3204,6,18,65,111,139,1
10494,20,5,52,121,123,1
2916,8,71,36,10,15,0
4536,15,11,77,83,99,1
10772,19,53,87,50,63,1
2236,4,13,18,27,37,0
3399,5,27,90,191,200,1
1366,2,7,100,57,76,0
9120,19,0,60,133,148,1
9036,15,121,68,54,76,1
4617,13,55,62,10,14,1
7204,16,38,93,60,79,1
3362,2,122,46,168,245,0
1966,9,26,59,7,8,0
9665,19,40,82,33,41,1
4440,19,2,35,26,33,0
12177,17,34,21,164,199,1
3480,6,19,50,27,37,0
4716,16,11,94,39,50,1
5360,14,6,15,12,17,0
1563,4,110,56,29,35,0
6657,16,39,52,65,67,1
8175,15,4,33,300,364,1
3835,11,31,58,58,85,0
6656,17,10,57,148,207,1
3321,14,10,57,13,17,0
6296,12,37,46,4,6,0
9069,15,67,15,39,45,1
4806,9,23,82,53,62,1
8615,15,7,27,13,13,0
1338,1,46,40,34,41,0
2396,6,1,78,11,11,0
7456,18,1,85,16,19,0
2320,4,11,46,72,81,0
9294,16,47,68,17,25,1
4068,9,4,73,18,25,0
4168,8,79,67,32,36,1
4197,13,49,71,14,16,0
1113,3,0,51,5,6,0
5717,17,10,65,1,2,0
8335,10,24,30,145,207,1
2734,5,76,42,27,34,0
4880,12,40,27,20,28,0
6139,13,44,15,34,40,0
7200,8,15,95,192,221,1
3243,14,64,57,9,12,0
7761,13,101,82,104,113,1
3497,16,24,64,1,2,0
1852,4,45,20,19,27,0
4158,15,6,58,117,143,0
1590,5,8,65,20,24,0
8412,11,0,62,159,169,1
7139,11,14,36,52,64,0
8020,11,47,63,115,170,1
5628,18,41,79,71,75,1
6410,8,8,17,159,188,1
1290,3,32,29,3,3,0
5493,15,8,62,87,88,1
924,2,12,41,32,41,0
5196,12,15,36,28,30,0
4524,8,37,81,42,60,1
3512,6,49,39,179,189,0
8356,20,1,73,19,22,0
7995,16,40,100,3,3,0
9125,15,18,55,95,124,1
4894,9,5,57,5,6,0
6274,10,52,96,37,42,1
3054,3,12,71,111,148,0
6296,10,14,79,57,79,1
3981,9,20,56,6,7,0
6211,13,9,71,50,57,1
7756,13,92,70,85,121,1
7288,10,53,81,122,123,1
4635,13,12,67,43,61,0
2100,2,8,62,54,80,0
5994,10,111,34,2,3,0
6730,8,116,81,230,309,1
5292,9,129,58,41,61,1
4934,4,17,58,114,116,1
4598,10,1,48,58,76,0
7581,12,3,51,77,82,1
5164,10,18,53,83,94,1
4091,7,34,48,101,124,0
8571,17,17,63,63,73,1
4028,9,11,77,1,2,0
1763,4,91,59,1,1,0
6136,8,125,81,104,155,1
7162,18,200,46,28,40,1
3523,13,29,89,64,71,1
9317,15,93,48,269,366,1
4092,12,24,89,86,116,1
671,1,12,28,7,9,0
6685,20,15,37,17,18,0
8384,15,1,57,1,2,0
1522,4,21,63,73,75,1
6072,10,11,79,194,206,1
4160,8,130,53,40,52,0
6077,15,42,61,11,14,0
11434,19,42,68,46,59,1
2088,4,11,44,12,15,0
2392,9,68,45,28,31,0
9117,15,2,89,226,335,1
3160,12,53,45,10,14,0
3044,12,76,62,16,20,0
2898,7,40,24,56,58,0
7096,7,4,44,136,138,0
3164,2,98,49,202,218,1
6544,19,89,72,107,160,1
6290,18,4,100,34,40,1
3115,8,20,57,19,28,0
485,1,3,97,16,18,0
5954,18,51,57,5,5,0
557,1,29,84,58,69,1
4413,8,78,73,27,27,1
2832,6,13,98,137,153,1
7118,14,71,76,69,73,1
8048,16,53,69,74,106,1
6555,19,43,54,90,122,1
4640,8,18,61,88,130,0
8108,17,7,58,110,151,1
651,1,0,86,21,27,0
9778,14,43,28,258,383,1
3905,15,45,74,50,60,1
5549,20,68,63,7,8,1
5346,9,148,92,27,36,1
12762,18,45,48,174,222,1
10540,20,16,62,80,109,1
9661,17,3,84,56,59,1
5465,4,2,24,133,160,0
8734,14,163,45,225,277,1
4769,11,63,66,1,2,0
1890,4,1,92,25,30,0
3861,9,51,56,38,53,0
2838,3,14,26,300,323,0
5118,14,8,15,102,153,1
2516,5,53,63,16,24,0
6784,18,47,45,20,26,0
6660,12,135,72,10,15,1
2278,2,24,55,66,85,0
3496,12,22,56,20,28,0
2273,7,101,63,16,19,0
1560,4,10,30,2,3,0
2893,4,89,89,41,59,1
3638,8,155,65,13,19,0
13305,20,66,68,121,156,1
1330,1,64,62,63,64,1
2622,6,71,73,42,52,1
2516,12,5,43,8,9,0
10915,19,10,97,43,45,1
4295,5,2,76,56,56,0
2565,3,16,43,39,45,0
5458,13,0,48,4,5,0
2642,6,41,15,22,33,0
9488,11,53,36,127,137,1
3358,2,12,56,280,292,0
1853,3,6,91,44,65,0
6272,14,36,77,0,1,0
5263,14,17,52,47,63,0
1594,4,1,42,5,5,0
5677,10,22,97,9,12,1
9393,17,72,72,14,14,1
3384,8,8,88,7,7,0
2796,1,1,78,178,205,1
3605,5,2,73,50,59,0
3396,11,56,66,105,136,1
5027,14,18,86,109,133,1
10884,18,27,62,67,99,1
11116,18,33,43,85,89,1
7623,13,92,47,16,22,0
617,1,167,69,26,39,0
6226,11,48,45,44,62,1
9369,13,36,58,82,108,1
3838,10,10,60,74,75,1
3205,11,3,52,2,3,0
4452,12,91,21,84,90,1
4212,8,61,31,36,48,0
4114,17,197,25,2,3,1
4283,11,90,95,56,80,1
4248,6,30,47,134,148,0
8222,17,103,72,35,46,1
7239,12,109,23,15,17,0
2592,8,43,44,64,80,0
5736,7,56,66,155,174,1
1295,3,8,57,17,24,0
11826,15,12,83,132,189,1
11226,19,26,83,47,66,1
6211,11,8,19,32,36,0
3890,15,156,29,19,26,1
3607,10,66,83,9,9,0
5781,12,157,59,39,48,1
7149,15,18,29,114,117,1
4278,12,25,91,18,19,0
10311,20,8,76,11,14,0
9347,15,1,50,86,88,1
10030,15,83,100,106,118,1
8219,11,39,52,131,195,1
1212,5,14,53,3,3,0
7468,11,34,74,179,243,1
1872,6,17,56,46,68,0
6570,15,1,78,10,14,0
6372,20,27,65,47,58,1
5258,10,30,82,71,92,1
6320,20,10,35,72,93,1
1152,3,157,44,6,9,0
3578,10,91,100,12,18,1
2676,5,53,61,118,155,1
2763,5,30,66,62,87,1
2898,5,91,82,54,63,1
8781,18,10,84,69,90,1
4143,5,22,64,68,73,0
6488,14,200,41,3,3,0
4626,12,170,65,33,39,1
8252,11,37,67,87,99,1
2457,8,94,84,33,35,0
4463,10,74,30,93,127,1
4278,17,71,54,37,41,1
7840,20,35,60,0,0,0
4020,6,17,93,29,41,1
4136,6,22,39,38,39,0
5764,14,12,94,30,44,1
7660,20,43,80,40,47,1
7602,18,21,15,129,189,1
3337,7,1,100,27,34,0
9357,15,21,80,33,45,1
9682,17,42,100,94,104,1
4301,7,75,74,82,98,1
4456,2,12,64,170,217,1
8253,18,2,41,177,192,1
2610,10,29,51,19,23,0
7137,15,15,61,23,29,1
2098,3,16,88,61,89,1
2916,12,56,36,20,20,0
7125,13,8,53,74,89,1
3901,13,9,44,48,55,1
515,1,37,65,19,24,0
1602,5,148,62,42,51,0
9481,16,1,88,65,95,1
8020,15,136,59,59,87,1
822,3,11,58,15,18,0
3216,5,42,30,34,50,0
3864,14,68,42,20,23,0
2830,10,77,43,35,42,0
8314,14,44,64,39,53,1
988,3,39,71,11,15,0
3894,18,10,67,6,7,0
2933,5,1,79,66,66,0
7984,20,11,100,32,45,1
3548,6,40,40,44,60,0
4530,12,25,94,82,116,1
14403,17,53,70,300,305,1
5750,13,14,93,5,7,1
6968,13,4,45,145,147,0
3256,12,11,35,28,31,0
3461,4,3,63,47,70,0
3356,11,95,23,68,90,1
7339,18,34,85,25,27,1
9740,15,200,31,70,81,1
2775,5,36,42,85,87,1
4260,10,37,56,205,306,1
2687,7,8,61,76,95,0
7687,17,4,26,38,53,0
2637,9,63,82,27,30,0
3922,10,117,71,17,22,1
2527,9,22,84,10,13,0
8737,13,33,61,63,87,1
5065,11,4,60,91,135,0
7888,16,68,54,80,97,1
2130,3,1,40,23,24,0
8902,14,4,28,179,248,1
3824,10,36,33,23,24,0
6576,11,41,15,47,56,0
8412,15,113,59,44,49,1
8269,15,21,55,136,141,1
8076,12,91,43,106,123,1
1301,2,3,79,33,45,0
6314,12,8,58,77,78,1
4683,5,46,57,112,114,0
2706,5,6,57,128,174,0
6914,12,41,75,94,96,1
6415,20,8,34,45,56,1
5152,12,20,51,4,6,0
2499,5,1,59,9,12,0
6320,11,151,69,36,43,1
1302,4,16,37,45,60,0
7096,17,46,54,15,16,1
6248,9,43,53,68,96,1
7791,7,2,90,300,425,1
2527,7,2,44,77,81,0
4396,15,53,51,4,4,0
10751,11,32,67,300,316,1
9468,18,16,84,63,82,1
4284,6,33,27,36,41,0
5928,12,20,53,34,37,0
2917,7,79,45,85,116,1
802,1,0,15,19,28,0
5466,12,64,25,9,10,0
4999,20,0,62,17,21,0
9471,13,167,57,105,138,1
9220,14,5,70,51,69,1
2592,3,27,57,120,161,1
1765,3,7,37,25,35,0
6770,17,60,27,42,59,0
6458,19,27,22,99,126,1
5492,17,100,43,202,268,1
2145,5,52,80,37,42,0
7621,11,13,100,119,141,1
6887,17,48,44,146,178,1
5017,7,45,58,61,69,0
3804,5,7,41,86,125,0
6000,18,32,49,74,84,1
9443,19,3,62,0,0,0
13424,20,141,28,86,107,1
4679,19,19,36,96,101,0
1355,2,48,84,13,15,0
4167,7,13,73,1,2,0
11655,20,3,79,223,286,1
7039,18,44,41,31,40,0
5336,16,10,87,8,10,0
3849,15,46,70,49,54,1
10660,15,1,43,224,283,1
4034,7,175,78,59,63,1
7572,11,39,69,89,111,1
3874,13,6,81,26,34,0
4812,18,118,35,16,19,0
4723,15,26,15,61,75,1
2312,8,128,53,17,17,0
5568,10,98,51,67,93,1
3898,8,15,54,110,146,1
3667,11,63,64,40,55,1
9143,17,83,72,84,103,1
3733,16,8,83,51,63,1
9538,17,188,66,180,207,1
7310,19,76,43,15,15,1
7386,10,31,64,119,175,1
6548,16,40,95,46,46,1
2166,4,15,74,54,62,0
8673,12,45,66,93,116,1
1050,2,7,53,40,58,0
5606,18,72,39,14,18,0
2976,3,36,31,85,113,1
8550,18,19,67,99,142,1
5200,20,36,40,0,0,0
5518,13,142,72,29,37,1
7122,12,17,73,10,11,0
9693,20,200,49,29,37,1
944,2,26,62,83,91,1
5576,11,22,78,34,48,1
2550,5,53,24,0,0,0
5733,11,71,85,6,7,1
7283,13,39,45,42,60,0
6162,11,39,62,53,70,1
10372,16,37,80,60,69,1
5136,16,14,71,113,134,1
1767,4,31,54,5,6,0
2085,1,69,48,79,95,1
9969,19,69,32,47,70,1
1716,2,17,53,36,41,0
9258,17,4,91,16,22,1
4840,5,200,71,175,179,1
10882,19,46,84,35,41,1
935,1,5,70,34,47,0
2396,5,82,99,31,44,1
10828,17,9,91,29,43,1
9222,16,18,61,1,1,0
9228,17,15,19,183,224,1
8116,16,13,69,36,46,0
3534,6,27,46,42,52,0
6983,18,6,57,5,7,0
6288,9,25,96,84,96,1
2978,8,65,36,11,13,0
3782,8,62,64,69,82,1
5872,16,141,55,4,5,1
10476,18,13,53,18,22,0
2368,4,106,78,18,24,0
5761,13,26,40,97,115,1
995,2,3,15,43,54,0
9962,15,19,77,149,210,1
3661,7,0,59,70,87,0
10047,18,124,69,3,3,1
2497,4,24,75,19,22,0
2934,8,9,30,54,61,0
3664,8,28,22,232,284,0
6437,11,5,83,10,10,0
1406,5,11,62,18,20,0
7616,14,33,83,7,10,1
5271,7,88,61,83,103,1
5330,10,35,49,5,5,0
6988,19,27,67,43,44,1
2818,6,27,77,34,35,0
6399,13,47,58,51,74,1
2385,10,73,41,39,48,0
10452,19,2,43,100,121,1
4970,10,8,40,26,34,0
8107,17,63,65,47,63,1
6537,15,95,52,132,146,1
3854,11,12,77,39,47,0
1902,6,34,56,44,53,0
11114,19,5,48,69,80,1
14212,20,67,83,216,321,1
7202,14,10,78,48,50,1
7566,13,38,43,65,76,1
2700,5,71,59,32,39,0
1642,1,7,76,77,92,0
9087,15,70,50,24,29,1
8315,10,9,49,145,146,1
4966,9,47,100,10,15,1
2960,8,3,34,139,198,0
3575,10,73,56,45,66,1
10514,17,186,67,71,78,1
4144,10,45,53,11,12,0
2144,8,7,79,0,0,0
9882,15,36,70,48,59,1
9696,14,3,65,85,115,1
11106,18,9,61,126,157,1
5324,20,55,86,24,31,1
11312,17,28,15,112,116,1
5567,19,30,44,114,167,1
8376,18,18,76,12,16,1
5138,18,4,70,17,22,0
7458,17,6,93,27,37,1
5418,7,47,50,63,94,0
3644,3,19,66,119,170,1
936,2,45,57,8,12,0
6637,14,50,47,25,25,0
9598,18,8,62,125,171,1
1923,1,11,77,117,169,1
1087,1,53,28,46,64,0
939,3,16,69,15,20,0
1995,3,92,61,94,98,1
4450,16,69,67,71,97,1
4035,6,49,52,53,77,0
6120,14,5,82,38,52,1
5313,13,35,55,31,35,1
3190,12,169,46,7,10,0
6449,17,60,56,162,162,1
2765,1,14,69,127,181,1
8364,18,63,52,106,121,1
7572,15,0,37,213,248,1
4165,7,79,81,21,21,0
7231,14,92,66,7,8,1
1782,7,4,98,18,27,0
1840,2,0,75,41,42,0
4770,8,15,22,23,29,0
4851,15,61,78,3,3,1
815,2,100,95,13,15,1
4983,8,3,59,17,22,0
11339,19,2,83,115,130,1
2877,10,41,79,7,8,0
5657,14,95,69,55,56,1
9396,18,32,43,36,49,0
8508,18,66,17,59,70,1
6654,13,100,93,38,51,1
4956,14,40,86,78,102,1
4528,6,12,52,46,61,0
3472,8,30,39,68,77,0
4733,15,135,58,59,72,1
6874,14,45,95,4,4,1
4589,13,13,44,29,32,0
5988,11,6,57,21,28,0
3536,12,160,27,26,37,0
1855,7,42,56,21,27,0
10442,20,10,51,47,49,1
5388,7,73,41,55,78,0
6038,18,32,54,22,25,0
4215,11,4,72,62,75,1
4269,7,5,81,27,38,0
7056,16,30,58,78,91,1
4384,13,200,42,9,11,0
4586,10,24,24,34,51,0
5337,12,107,23,81,104,1
11537,17,78,77,201,213,1
9424,16,77,47,0,0,0
4374,12,13,61,3,3,0
6622,19,41,52,75,76,1
5014,9,27,38,29,38,0
5229,14,5,55,35,41,0
3963,11,3,59,28,37,0
5202,8,127,34,71,92,1
5310,9,40,89,0,1,0
6818,15,45,78,158,179,1
3016,5,57,64,8,11,0
2962,6,104,32,4,4,0
3934,17,0,60,35,36,0
798,1,15,45,43,63,0
2349,8,5,60,53,53,0
4802,7,18,79,84,107,1
1932,2,53,67,36,51,0
3428,16,50,80,20,28,0
7900,18,26,43,104,105,1
11311,17,77,55,126,162,1
1465,1,17,75,56,81,0
1996,6,20,80,59,75,0
1736,5,21,82,11,15,0
5737,17,25,51,9,11,0
3136,13,7,75,1,2,0
8115,15,46,45,65,79,1
5668,10,23,53,24,34,0
1514,2,50,30,60,72,0
7046,13,199,44,39,40,0
649,1,52,47,9,9,0
12152,16,31,57,216,316,1
5395,11,21,56,2,2,0
2487,8,7,49,1,2,0
2280,9,63,70,39,47,0
9996,18,5,51,202,224,1
3850,11,16,83,142,160,1
3415,13,186,66,22,24,1
6873,19,146,23,32,44,1
6812,18,35,33,10,15,0
3110,5,36,72,50,66,0
2908,12,26,69,23,29,0
2114,8,13,54,14,20,0
7865,11,14,47,220,254,1
7089,15,36,34,27,32,0
8190,18,26,63,63,74,1
10783,19,30,82,33,35,1
7188,20,43,100,14,15,1
1029,3,22,100,2,3,0
6562,5,11,24,216,256,0
3629,12,108,81,83,83,1
5886,10,6,60,101,149,1
3186,9,5,71,102,107,1
2710,6,129,49,10,14,0
12942,18,27,82,257,283,1
725,1,39,56,30,32,0
10330,20,15,44,14,20,0
1141,1,32,88,44,56,1
4573,3,38,56,130,161,1
9794,19,79,64,94,137,1
5545,13,38,53,203,237,1
4110,10,86,54,37,41,1
3465,3,84,71,145,180,1
8322,14,44,15,169,178,1
4440,12,0,82,42,62,1
8280,16,53,78,9,10,1
4062,15,16,44,28,32,0
3477,1,10,76,205,284,0
10484,13,0,78,300,385,1
7462,14,15,69,0,0,0
6424,10,60,43,116,160,1
4540,7,63,67,95,106,1
6035,13,48,65,94,141,1
8420,16,4,81,43,53,1
5037,13,3,43,34,45,1
2029,4,19,54,7,8,0
7463,18,74,16,191,281,1
3598,7,3,62,45,67,0
2807,3,71,22,79,87,1
3503,10,11,41,21,31,0
5926,5,73,76,172,220,1
2295,3,17,53,42,57,0
9147,19,11,59,66,98,1
7094,14,19,64,67,90,1
12622,18,5,15,142,152,1
3128,4,39,62,63,85,0
4962,6,3,75,74,76,1
12695,19,77,36,105,130,1
4996,11,36,66,47,47,0
1856,4,14,46,44,60,0
8452,17,15,46,9,13,0
3808,8,62,61,24,30,0
9983,15,0,50,46,68,0
4709,17,82,61,0,0,0
5266,16,12,43,87,113,1
957,3,20,51,20,25,0
4206,10,83,63,24,36,0
6382,7,25,62,156,200,1
